orf,gene.x,Anno1,Growth1,gene.y,Anno2,Growth2,name.check,essenflag
YBL083C,YBL083C,verified1,growth1,YBL083C,verified2,growth2,TRUE,nonessential
YBL084C,cdc27,verified1,nogrowth1,cdc27,verified2,nogrowth2,TRUE,essential
YBL085W,BOI1,verified1,growth1,BOI1,verified2,growth2,TRUE,nonessential
YBL086C,YBL086C,verified1,growth1,YBL086C,verified2,growth2,TRUE,nonessential
YBL087C,RPL23A,verified1,growth1,RPL23A,verified2,growth2,TRUE,nonessential
YBL088C,tel1,verified1,growth1,tel1,verified2,growth2,TRUE,nonessential
YBL089W,YBL089W,verified1,growth1,YBL089W,verified2,growth2,TRUE,nonessential
YBL090W,MRP21,verified1,growth1,MRP21,verified2,growth2,TRUE,nonessential
YBL091C,MAP2,verified1,growth1,MAP2,verified2,growth2,TRUE,nonessential
YBL091C-A,YBL091C-A,verified1,growth1,YBL091C-A,verified2,growth2,TRUE,nonessential
YBL092W,RPL32,verified1,nogrowth1,RPL32,verified2,growth2,TRUE,abnormal
YBL093C,ROX3,verified1,growth1,ROX3,verified2,growth2,TRUE,nonessential
YBL094C,YBL094C,verified1,growth1,YBL094C,verified2,growth2,TRUE,nonessential
YBL095W,YBL095W,verified1,growth1,YBL095W,verified2,growth2,TRUE,nonessential
YBL096C,YBL096C,verified1,growth1,YBL096C,verified2,growth2,TRUE,nonessential
YBL097W,BRN1,verified1,nogrowth1,BRN1,verified2,nogrowth2,TRUE,essential
YBL098W,YBL098W,verified1,growth1,YBL098W,verified2,growth2,TRUE,nonessential
YBL099W,ATP1,verified1,growth1,ATP1,verified2,growth2,TRUE,nonessential
YBL100C,YBL100C,verified1,growth1,YBL100C,verified2,growth2,TRUE,nonessential
YBL101C,ECM21,verified1,growth1,ECM21,verified2,growth2,TRUE,nonessential
YBL102W,SFT2,verified1,growth1,SFT2,verified2,growth2,TRUE,nonessential
YBL103C,RTG3,verified1,nogrowth1,RTG3,verified2,nogrowth2,TRUE,essential
YBL104C,YBL104C,verified1,growth1,YBL104C,verified2,growth2,TRUE,nonessential
YBL105C,pkc1,verified1,nogrowth1,pkc1,verified2,nogrowth2,TRUE,essential
YBL106C,SRO77,verified1,growth1,SRO77,verified2,growth2,TRUE,nonessential
YBL107C,YBL107C,verified1,growth1,YBL107C,verified2,growth2,TRUE,nonessential
YBR001C,NTH2,verified1,growth1,NTH2,verified2,growth2,TRUE,nonessential
YBR002C,RER2,verified1,nogrowth1,RER2,verified2,nogrowth2,TRUE,essential
YBR003W,COQ1,verified1,growth1,COQ1,verified2,growth2,TRUE,nonessential
YBR004C,YBR004C,verified1,nogrowth1,YBR004C,verified2,nogrowth2,TRUE,essential
YBR005W,YBR005W,verified1,growth1,YBR005W,verified2,growth2,TRUE,nonessential
YBR006W,UGA2,verified1,growth1,UGA2,verified2,growth2,TRUE,nonessential
YBR007C,YBR007C,verified1,growth1,YBR007C,verified2,growth2,TRUE,nonessential
YBR008C,FLR1,verified1,growth1,FLR1,verified2,growth2,TRUE,nonessential
YBR009C,HHF1,verified1,growth1,HHF1,verified2,growth2,TRUE,nonessential
YBR010W,HHT1,verified1,growth1,HHT1,verified2,growth2,TRUE,nonessential
YBR011C,ipp1,verified1,nogrowth1,ipp1,verified2,nogrowth2,TRUE,essential
YBR012C,YBR012C,verified1,growth1,YBR012C,verified2,growth2,TRUE,nonessential
YBR013C,YBR013C,verified1,growth1,YBR013C,verified2,growth2,TRUE,nonessential
YBR014C,YBR014C,verified1,growth1,YBR014C,verified2,growth2,TRUE,nonessential
YBR015C,mnn2,verified1,growth1,mnn2,verified2,growth2,TRUE,nonessential
YBR016W,YBR016W,verified1,growth1,YBR016W,verified2,growth2,TRUE,nonessential
YBR017C,KAP104,verified1,nogrowth1,KAP104,verified2,nogrowth2,TRUE,essential
YBR018C,gal7,verified1,growth1,gal7,verified2,growth2,TRUE,nonessential
YBR019C,gal10,verified1,growth1,gal10,verified2,growth2,TRUE,nonessential
YBR020W,gal1,verified1,growth1,gal1,verified2,growth2,TRUE,nonessential
YBR021W,fur4,verified1,nogrowth1,fur4,verified2,nogrowth2,TRUE,essential
YBR022W,YBR022W,verified1,growth1,YBR022W,verified2,growth2,TRUE,nonessential
YBR023C,chs3,verified1,growth1,chs3,verified2,growth2,TRUE,nonessential
YBR024W,SCO2,verified1,growth1,SCO2,verified2,growth2,TRUE,nonessential
YBR025C,YBR025C,verified1,growth1,YBR025C,verified2,growth2,TRUE,nonessential
YBR026C,MRF1,verified1,growth1,MRF1,verified2,growth2,TRUE,nonessential
YBR027C,YBR027C,verified1,growth1,YBR027C,verified2,growth2,TRUE,nonessential
YBR028C,YBR028C,verified1,growth1,YBR028C,verified2,growth2,TRUE,nonessential
YBR029C,CDS1,verified1,nogrowth1,CDS1,verified2,nogrowth2,TRUE,essential
YBR030W,YBR030W,verified1,growth1,YBR030W,verified2,growth2,TRUE,nonessential
YBR031W,RPL4A,verified1,growth1,RPL4A,verified2,growth2,TRUE,nonessential
YBR032W,YBR032W,verified1,growth1,YBR032W,verified2,growth2,TRUE,nonessential
YBR033W,YBR033W,verified1,growth1,YBR033W,verified2,growth2,TRUE,nonessential
YBR034C,HMT1,verified1,growth1,HMT1,verified2,growth2,TRUE,nonessential
YBR035C,PDX3,verified1,growth1,PDX3,verified2,growth2,TRUE,nonessential
YBR036C,CSG2,verified1,growth1,CSG2,verified2,growth2,TRUE,nonessential
YBR037C,SCO1,verified1,growth1,SCO1,verified2,growth2,TRUE,nonessential
YBR038W,CHS2,verified1,nogrowth1,CHS2,verified2,nogrowth2,TRUE,essential
YBR039W,ATP3,verified1,nogrowth1,ATP3,verified2,nogrowth2,TRUE,essential
YBR040W,FIG1,verified1,growth1,FIG1,verified2,growth2,TRUE,nonessential
YBR041W,FAT1,verified1,growth1,FAT1,verified2,growth2,TRUE,nonessential
YBR042C,YBR042C,verified1,growth1,YBR042C,verified2,growth2,TRUE,nonessential
YBR043C,YBR043C,verified1,growth1,YBR043C,verified2,growth2,TRUE,nonessential
YBR044C,TCM62,verified1,growth1,TCM62,verified2,growth2,TRUE,nonessential
YBR045C,GIP1,verified1,growth1,GIP1,verified2,growth2,TRUE,nonessential
YBR046C,ZTA1,verified1,growth1,ZTA1,verified2,growth2,TRUE,nonessential
YBR047W,YBR047W,verified1,growth1,YBR047W,verified2,growth2,TRUE,nonessential
YBR048W,RPS11B,verified1,growth1,RPS11B,verified2,growth2,TRUE,nonessential
YBR049C,REB1,verified1,nogrowth1,REB1,verified2,nogrowth2,TRUE,essential
YBR050C,REG2,verified1,growth1,REG2,verified2,growth2,TRUE,nonessential
YBR051W,YBR051W,verified1,growth1,YBR051W,verified2,growth2,TRUE,nonessential
YBR052C,YBR052C,verified1,growth1,YBR052C,verified2,growth2,TRUE,nonessential
YBR053C,YBR053C,verified1,growth1,YBR053C,verified2,growth2,TRUE,nonessential
YBR054W,YRO2,verified1,growth1,YRO2,verified2,growth2,TRUE,nonessential
YBR055C,prp6,verified1,nogrowth1,prp6,verified2,nogrowth2,TRUE,essential
YBR056W,YBR056W,verified1,growth1,YBR056W,verified2,growth2,TRUE,nonessential
YBR057C,MUM2,verified1,growth1,MUM2,verified2,growth2,TRUE,nonessential
YBR058C,UBP14,verified1,growth1,UBP14,verified2,growth2,TRUE,nonessential
YBR059C,AKL1,verified1,growth1,AKL1,verified2,growth2,TRUE,nonessential
YBR060C,ORC2,verified1,nogrowth1,ORC2,verified2,nogrowth2,TRUE,essential
YBR061C,YBR061C,verified1,nogrowth1,YBR061C,verified2,nogrowth2,TRUE,essential
YBR062C,YBR062C,verified1,growth1,YBR062C,verified2,growth2,TRUE,nonessential
YBR063C,YBR063C,verified1,growth1,YBR063C,verified2,growth2,TRUE,nonessential
YBR064W,YBR064W,verified1,growth1,YBR064W,verified2,growth2,TRUE,nonessential
YBR065C,ECM2,verified1,growth1,ECM2,verified2,growth2,TRUE,nonessential
YBR066C,nrg2,verified1,growth1,nrg2,verified2,growth2,TRUE,nonessential
YBR067C,TIP1,verified1,growth1,TIP1,verified2,growth2,TRUE,nonessential
YBR068C,BAP2,verified1,growth1,BAP2,verified2,growth2,TRUE,nonessential
YBR069C,TAT1,verified1,growth1,TAT1,verified2,growth2,TRUE,nonessential
YBR070C,YBR070C,verified1,nogrowth1,YBR070C,verified2,nogrowth2,TRUE,essential
YBR071W,YBR071W,verified1,growth1,YBR071W,verified2,growth2,TRUE,nonessential
YBR072W,HSP26,verified1,growth1,HSP26,verified2,growth2,TRUE,nonessential
YBR073W,RDH54,verified1,growth1,RDH54,verified2,growth2,TRUE,nonessential
YBR074W,YBR074W,verified1,growth1,YBR074W,verified2,growth2,TRUE,nonessential
YBR075W,YBR075W,verified1,growth1,YBR075W,verified2,growth2,TRUE,nonessential
YBR076W,ECM8,verified1,growth1,ECM8,verified2,growth2,TRUE,nonessential
YBR077C,YBR077C,verified1,growth1,YBR077C,verified2,growth2,TRUE,nonessential
YBR078W,ECM33,verified1,growth1,ECM33,verified2,growth2,TRUE,nonessential
YBR079C,RPG1,verified1,nogrowth1,RPG1,verified2,nogrowth2,TRUE,essential
YBR080C,SEC18,verified1,nogrowth1,SEC18,verified2,nogrowth2,TRUE,essential
YBR081C,spt7,verified1,nogrowth1,spt7,verified2,nogrowth2,TRUE,essential
YBR082C,ubc4,verified1,nogrowth1,ubc4,verified2,nogrowth2,TRUE,essential
YBR083W,tec1,verified1,growth1,tec1,verified2,growth2,TRUE,nonessential
YBR084C-A,RPL19A,verified1,growth1,RPL19A,verified2,growth2,TRUE,nonessential
YBR084W,mis1,verified1,growth1,mis1,verified2,growth2,TRUE,nonessential
YBR085W,AAC3,verified1,nogrowth1,AAC3,verified2,nogrowth2,TRUE,essential
YBR086C,IST2,verified1,nogrowth1,IST2,verified2,nogrowth2,TRUE,essential
YBR087W,RFC5,verified1,nogrowth1,RFC5,verified2,nogrowth2,TRUE,essential
YBR088C,pol30,verified1,nogrowth1,pol30,verified2,nogrowth2,TRUE,essential
YBR089W,YBR089W,verified1,nogrowth1,YBR089W,verified2,growth2,TRUE,abnormal
YBR090C,YBR090C,verified1,growth1,YBR090C,verified2,growth2,TRUE,nonessential
YBR090C-A,YBR090C-A,verified1,growth1,YBR090C-A,verified2,growth2,TRUE,nonessential
YBR091C,MRS5,verified1,nogrowth1,MRS5,verified2,nogrowth2,TRUE,essential
YBR092C,PHO3,verified1,growth1,PHO3,verified2,growth2,TRUE,nonessential
YBR093C,PHO5,verified1,growth1,PHO5,verified2,growth2,TRUE,nonessential
